node,out_degree
0,9
6420,610
2941,1
3051,149
5511,1350
1020,129
4726,27
5968,149
5543,188
4089,3
6251,17
180,111
1712,59
2287,4
3552,39
4395,148
3920,135
6148,190
771,1489
5208,154
790,98
4069,169
4522,16
6203,5
4496,16
1082,108
5175,34
3274,10
2173,8
2560,655
1465,40
3623,63
2831,4
1115,182
2944,2
4716,90
4463,15
77,2
2,16
5079,16
2842,46
475,20
5911,15
6454,0
1041,52
2856,28
6040,10
4059,5
813,102
479,254
609,33
6528,0
2807,26
1721,64
1992,56
3,2
412,112
45,31
2367,488
996,72
2161,1393
4421,37
4445,10
6101,19
3356,245
3905,112
3138,56
2119,97
6442,2
327,46
3550,290
2650,673
3629,16
4239,61
3857,418
2907,265
5383,8
5571,39
1751,549
3754,63
3087,182
4047,193
4717,308
5,5
3582,14
514,19
4660,4
183,81
6271,26
5827,16
3523,21
257,25
6310,22
5794,4
3476,140
5710,0
471,33
3312,4
5069,2
1133,112
6090,2
4811,0
3776,4
663,31
6,5
1482,27
1284,511
4451,239
7,12
2228,39
3350,126
6403,15
768,48
1025,486
4615,4
64,66
1485,8
1240,109
2374,229
8,20
4018,28
612,615
5908,47
2825,16
1253,50
5207,2
5756,7
5530,4
1195,9
2012,16
3551,20
2238,19
1155,167
4918,75
1100,320
179,25
4214,26
4813,11
2257,99
9,33
3253,43
2568,32
766,81
4953,40
1573,80
1056,2
3995,42
3329,7
1276,13
877,16
1969,71
3952,30
5582,32
4663,20
5384,16
5130,19
287,35
5385,14
6084,26
3313,2
1127,60
6056,3
6466,6
4329,3
1320,14
2108,22
6281,6
10,33
3510,11
142,265
1890,132
398,47
5516,77
4453,168
5554,82
5094,20
938,269
2799,322
2459,258
361,17
3959,6
2712,84
188,100
3046,10
1808,34
3459,308
98,133
1616,132
4719,82
577,60
586,99
1875,3
4443,19
998,84
1917,9
399,49
2448,136
5578,23
6165,15
4724,6
6108,2
3472,115
3388,42
3984,13
1726,54
5388,48
3575,37
1285,66
1015,164
5792,1
2661,15
3096,16
210,82
3780,42
1939,111
5188,17
1440,235
6121,7
421,178
4840,8
2897,15
3904,59
2061,10
219,114
4960,48
6126,3
5266,16
1548,127
5679,24
1147,46
3714,8
5310,502
5708,14
4004,39
1150,52
4565,75
4211,77
5096,1
4296,47
3861,24
165,13
4110,34
1261,278
2496,33
3390,77
5320,5
539,364
940,91
4998,5
1121,11
3172,8
516,53
4117,15
730,7
2614,142
931,45
1314,78
5121,8
2259,42
4586,79
3746,8
3931,81
6474,1
6164,4
5095,78
1183,148
1990,60
4692,19
